emotion,keystrokes
Happy, ctrl_l\x13 down right down right down shift _r left right left right left left right right left left left left left left left left left left left left up ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l DELETED 
Frustrated," alt_l ctrl_l delete f8 f8 f8 f8prit backspace nt  backspace  backspace  backspace  backspace  backspace  backspace  shift _rP backspace print = backspace def  shift _r( right right down leftprint === backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace /siz backspace  backspace  backspace  backspace /siz== backspace  backspace  backspace  backspace  backspace  backspace  shift _rSize = int shift _r(ip backspace nput  backspace  shift _r( shift _r"""" left shift _rEnter the  shift _r? backspace  shift _rRange  shift _r:  backspace / backspace \\t right right right
 shift _rO backspace  shift _rPrint  insert backspace  shift _r( shift _r""\\n shift _rFlo backspace  backspace  backspace  backspace  backspace \\nl backspace  backspace n shift _rFl backspace  backspace floyd  backspace """""""" backspace s  backspace  shift _r  shift _rTrianglel  backspace  backspace  backspace le backspace  backspace e  shift _rWith  shift _rNumbers  shift _r:\\n right right
"
Panic," shift _rK =1 left  right up up up up tab down down up= backspace  backspace  down dow
"
Frustrated," up up up up tab down down up= backspace  backspace  down down
 shift _rFor  backspace  backspace  backspace fir backspace  backspace  backspace  backspace for  f8 left shift _rI in range  backspace  backspace  backspace  backspace  backspace  backspace  shift _rA backspace  shift _rRAn
  backspace  shift _r( shift _r!,  shift _rSize
  shift _r+ shift _r1 backspace  backspace  shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r+1 left  right right shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r:  shift _rPei backspace  backspace  backspace  backspace  shift _rPri
"
Bored," shift _r( left rightk,  shift _rEd  backspace  backspace  backspace end  backspace =  shift _r"""" right  shift _r:  shift _rK =  shift _r: backspace  shift _rK shift _r+ left1 backspace   right1 left  right
 shift _rPrin
 shift _r()"
Frustrated," shift _rPri
 shift _r( shift _r""\\n right right
 shift _rPrinyt shift _r( shift _r shift _r"""" left left backspace  shift _r( right right left backspace  right right shift _r) left\\n  shift _r shift _rFloyd left left left left left left left== backspace  backspace  backspace  backspace  right right right right left left left left\\ right right right right right right right  backspace """"s  shift _rTriangle with  shift _r* s right shift _r:\\d shift _r"" left left right backspace  shift _r?D backspace  backspace  shift _rD backspace  backspace  right right
for  shift _rI  backspace  backspace i  backspace  backspace  shift _rI in  shift _rRnag
  shift _r( shift _r"" shift _rI backspace  backspace 1, si
  shift _r+ 1  backspace  right  shift _r: for  shift _rK backspace  shift _rJ in  shift _rRange  shift _r(1, i shift _r+ shift _rI backspace 1 shift _r) left left left left left left left backspace  shift _r( right right right right right right right shift _r

Prin"
Happy," shift _r("""""""" left shift _r* right,  shift _rEngd backspace  backspace d  shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r+ shift _r"""" down  left left left left right  right right

print shift _r()
o backspace print shift _r( shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r"" shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r shift _r|n ctrl_l\x13
"
Frustrated,"cd  backspace  backspace  backspace  backspace  ctrl_l\x1a ctrl_l\x13 backspace  backspace run fik= backspace  backspace le   backspace a.py 
p backspace py a  backspace . backspace .py
 backspace  backspace  backspace  backspace  uppypy a.py
 ctrl_l\x13py a.py
 backspace  ctrl_l\x13py ap backspace .py
 backspace  right right backspace 
 ctrl_l ctrl_l\x13 up
 backspace  shift _r shift _r:: backspace  backspace  down shift _r: ctrl_l\x13 up
 backspace  shift _r: ctrl_l\x13 up
 backspace  down ctrl_l\x13 up"
Panic,"  shift _r:  ctrl_l\x13 up up up
 backspace  up right right backspace  ctrl_l\x13 up
 ctrl_l\x18 ctrl_l\x13 up
 backspace  backspace p ctrl_l\x13 up
 backspace  backspace  ctrl_l\x13 up"
Frustrated," backspace  ctrl_l\x13 up
 backspace  backspace  backspace  backspace  down backspace  backspace  ctrl_l\x13 up
 down down down]
 backspace  backspace 
 ctrl_l ctrl_l\x16"
Happy,"
 down down down down down down down down down down down down down down down down down down down down down down down down down down down down down down down down down down down down down up up up up up ctrl_l\x03 ctrl_l\x16 backspace  backspace  ctrl_l\x13 up
6
 ctrl_l\x03 ctrl_l\x16 ctrl_l\x04\x13 up
9"
Frustrated,"  ctrl_l\x03 ctrl_l\x16 ctrl_l\x13 up
7 backspace 1
3
 up up
3"
zxc, f8 cmd ctrl_l shift  shift  shift  shift  shift  esc
Happy, f8 cmd ctrl_l shift  shift  shift  shift  shift  esc
qwe, f8 cmd ctrl_l shift  shift  shift  shift  shift  esc
